,0
/m/1002939-boston_strangler,10
/m/1002947-bounty,14
/m/1002993-boys_from_brazil,15
/m/1003017-brainstorm,10
/m/1003060-breakout,4
/m/1003075-brewsters_millions,10
/m/1003076-brians_song,13
/m/1003094-brief_encounter,35
/m/1003119-broken_arrow,12
/m/1003120-broken_blossoms,19
/m/1003136-brotherhood,8
/m/1003217-bug,-3
/m/1003276-burglar,8
/m/1003296-bus_stop,6
/m/1003318-butch_cassidy_and_the_sundance_kid,43
/m/1003339-bye_bye_birdie,24
/m/1003399-calamity_jane,14
/m/1003436-camelot,7
/m/1003441-camille,13
/m/1003492-cape_fear,19
/m/1003499-captain_blood,27
/m/1003531-captains_courageous,16
/m/1003612-carnival_of_souls,26
/m/1003625-carrie,44
/m/1003707-casablanca,73
/m/1003722-casino_royale,6
/m/1003747-cat_and_the_canary,15
/m/1003755-cat_on_a_hot_tin_roof,34
/m/1003757-cat_people,38
/m/1003758-cat_people,21
/m/1003780-caught,8
/m/1003854-champ,20
/m/1003857-champion,13
/m/1003883-charade,34
/m/1003952-charlottes_web,22
/m/1003957-chase,0
/m/1003972-checking_out,2
/m/1004047-children_of_the_corn,3
/m/1004110-chosen,13
/m/1004125-christmas_carol,12
/m/1004141-christmas_in_connecticut,8
/m/1004151-christmas_story,48
/m/1004177-cimarron,15
/m/1004330-cleopatra,16
/m/1004463-college,20
/m/1004485-colors,31
/m/1004502-coma,4
/m/1004567-commando,7
/m/1004703-convoy,3
/m/1004790-countdown,2
/m/1004798-country_girl,5
/m/1004832-cover_girl,23
/m/1004906-creature_from_the_black_lagoon,11
/m/1004995-crossroads,11
/m/1005090-cutting_class,4
/m/1005152-damn_yankees,16
/m/1005194-dangerous,3
/m/1005199-dangerous_liaisons,28
/m/1005242-dark_mirror,7
/m/1005279-darling,9
/m/1005360-day_of_the_dead,21
/m/1005371-day_the_earth_stood_still,41
/m/1005381-days_of_wine_and_roses,8
/m/1005399-dead_heat,0
/m/1005412-dead_reckoning,6
/m/1005512-death_in_venice,23
/m/1005521-death_of_a_salesman,6
/m/1005656-demons,-4
/m/1005724-desperate_hours,7
/m/1005762-devil_doll,3
/m/1005865-dillinger,10
/m/1005875-dinner_at_eight,20
/m/1005967-distant_thunder,8
/m/1006037-doctor_zhivago,44
/m/1006042-dodge_city,14
/m/1006068-dolls,-6
/m/1006207-dr_jekyll_and_mr_hyde,31
/m/1006223-how_the_grinch_stole_christmas,24
/m/1006234-dracula,25
/m/1006235-dracula,1
/m/1006236-dracula,7
/m/1006250-dragnet,18
/m/1006287-dream_team,4
/m/1006299-dressed_to_kill,30
/m/1006345-duel,27
/m/1006364-dune,-4
/m/1006392-eagle_has_landed,3
/m/1006416-east_of_eden,38
/m/1006425-easy_money,1
/m/1006438-eaten_alive,0
/m/1006476-oedipus_rex,11
/m/1006527-elephant_man,50
/m/1006646-enforcer,27
/m/1006648-enforcer,6
/m/1006717-escape_from_new_york,59
/m/1006872-exodus,12
/m/1006917-eyewitness,3
/m/1007003-fahrenheit_451,30
/m/1007070-fan,3
/m/1007073-fandango,4
/m/1007105-far_from_the_madding_crowd,30
/m/1007110-farewell_my_lovely,15
/m/1007141-fatal_attraction,29
/m/1007154-father_of_the_bride,34
/m/1007517-flash_gordon,2
/m/1007522-flashback,8
/m/1007538-flesh_and_blood,12
/m/1007555-flight_of_the_phoenix,18
/m/1007573-flipper,1
/m/1007600-fly,16
/m/1007602-fly,42
/m/1007615-flying_tigers,5
/m/1007657-footloose,19
/m/1007745-four_feathers,9
/m/1007832-frantic,35
/m/1007839-freaky_friday,17
/m/1007910-fright_night,14
/m/1007931-from_here_to_eternity,38
/m/1007949-frosty_the_snowman,14
/m/1007962-fugitive,5
/m/1007977-fun_with_dick_and_jane,11
/m/1007990-funny_farm,11
/m/1008015-fury,14
/m/1008055-galaxy_of_terror,-8
/m/1008074-gallipoli,38
/m/1008080-gambler,4
/m/1008085-game_of_death,4
/m/1008166-general,52
/m/1008243-getaway,12
/m/1008358-girls_girls_girls,2
/m/1008407-gloria,22
/m/1008415-glory,45
/m/1008437-go_west,9
/m/1008588-gone_in_60_seconds,3
/m/1008623-goodbye_girl,17
/m/1008627-goodbye_mr_chips,13
/m/1008799-great_gatsby,25
/m/1008852-great_race,13
/m/1008931-green_berets,0
/m/1008968-grizzly,-2
/m/1009027-gullivers_travels,12
/m/1009055-gunfighter,11
/m/1009058-gung_ho,15
/m/1009076-gypsy,8
/m/1009096-hairspray,43
/m/1009113-halloween,28
/m/1009123-hamlet,40
/m/1009131-hand,4
/m/1009211-hard_times,15
/m/1009219-hardcore,18
/m/1009224-harder_they_fall,8
/m/1009277-haunting,18
/m/1009293-hawaii,9
/m/1009399-heat,-1
/m/1009425-heaven,6
/m/1009427-heaven_can_wait,26
/m/1009437-heidi,9
/m/1009583-hidden_fortress,33
/m/1009645-hills_have_eyes,8
/m/1009649-hindenburg,-3
/m/1009691-hit,14
/m/1009736-hole_in_the_head,8
/m/100_bloody_acres_2013,15
